Date,Open,High,Low,Close,Volume
20-Jun-16,17736.869141,17946.359375,17736.869141,17804.869141,99380000
21-Jun-16,17827.330078,17877.839844,17799.800781,17829.730469,85130000
22-Jun-16,17832.669922,17920.160156,17770.359375,17780.830078,89440000
23-Jun-16,17844.109375,18011.070312,17844.109375,18011.070312,98070000
24-Jun-16,17946.630859,17946.630859,17356.339844,17400.75,239000000
27-Jun-16,17355.210938,17355.210938,17063.080078,17140.240234,138740000
28-Jun-16,17190.509766,17409.720703,17190.509766,17409.720703,112190000
29-Jun-16,17456.019531,17704.509766,17456.019531,17694.679688,106380000
30-Jun-16,17712.759766,17930.609375,17711.800781,17929.990234,133030000
01-Jul-16,17924.240234,18002.380859,17916.910156,17949.369141,82160000
05-Jul-16,17904.449219,17904.449219,17785.279297,17840.619141,103650000
06-Jul-16,17807.470703,17926.910156,17713.449219,17918.619141,93000000
07-Jul-16,17924.240234,17984.949219,17816.650391,17895.880859,81570000
08-Jul-16,17971.220703,18166.769531,17971.220703,18146.740234,93460000
11-Jul-16,18161.529297,18283.900391,18161.529297,18226.929688,80880000
12-Jul-16,18259.119141,18371.949219,18259.119141,18347.669922,90170000
13-Jul-16,18356.779297,18390.160156,18315.759766,18372.119141,80920000
14-Jul-16,18414.300781,18537.570312,18414.300781,18506.410156,87050000
15-Jul-16,18508.880859,18557.429688,18471.619141,18516.550781,123690000
18-Jul-16,18521.550781,18556.130859,18489.839844,18533.050781,75540000
19-Jul-16,18503.119141,18562.529297,18495.109375,18559.009766,85840000
20-Jul-16,18582.699219,18622.009766,18555.650391,18595.029297,93230000
21-Jul-16,18589.960938,18590.439453,18469.669922,18517.230469,86800000
22-Jul-16,18524.150391,18571.300781,18491.589844,18570.849609,87710000
25-Jul-16,18554.490234,18555.689453,18452.619141,18493.060547,76810000
26-Jul-16,18497.369141,18522.470703,18387.220703,18473.75,85370000
27-Jul-16,18473.269531,18542.390625,18430.939453,18472.169922,111370000
28-Jul-16,18461.009766,18483.259766,18368.820312,18456.349609,85750000
29-Jul-16,18442.519531,18466.550781,18371.119141,18432.240234,111550000
01-Aug-16,18434.5,18467.029297,18355.75,18404.509766,83470000
02-Aug-16,18401.150391,18403.650391,18247.789062,18313.769531,89680000
03-Aug-16,18313.080078,18355.0,18283.230469,18355.0,78550000
04-Aug-16,18351.429688,18397.869141,18325.169922,18352.050781,64500000
05-Aug-16,18402.800781,18543.529297,18402.800781,18543.529297,92420000
08-Aug-16,18541.890625,18569.310547,18502.029297,18529.289062,71810000
09-Aug-16,18538.050781,18585.320312,18507.75,18533.050781,60090000
10-Aug-16,18541.480469,18561.75,18468.779297,18495.660156,62780000
11-Aug-16,18519.080078,18638.339844,18519.080078,18613.519531,71470000
12-Aug-16,18595.650391,18606.060547,18535.859375,18576.470703,61580000
15-Aug-16,18588.589844,18722.609375,18559.929688,18636.050781,62350000
16-Aug-16,18614.480469,18614.859375,18550.650391,18552.019531,67570000
17-Aug-16,18537.089844,18582.349609,18468.679688,18573.939453,71000000
18-Aug-16,18566.539062,18600.820312,18533.289062,18597.699219,70740000
19-Aug-16,18585.169922,18585.169922,18491.240234,18552.570312,93170000
